id,name,date,source,url
1,"PAN","2022-07-01","berghain","https://www.berghain.berlin/en/event/73162"
2,"AD 93","2022-06-03","berghain","https://www.berghain.berlin/en/event/73158"
3,"Zoo-logical!","2022-08-15","co-berlin","https://co-berlin.org/en/events/zoo-logical"
4,"Meet the Bees","2022-06-21","co-berlin","https://co-berlin.org/en/events/meet-bees"
5,"Zoo-logical!","2022-06-25","co-berlin","https://co-berlin.org/en/events/zoo-logical"
6,"C/O Berlin Open House â€“ hosted by Airbnb","2022-07-01","co-berlin","https://co-berlin.org/en/events/co-berlin-open-house-hosted-airbnb-0"
7,"After WorkTour + Drink","2022-07-07","co-berlin","https://co-berlin.org/en/events/after-worktour-drink-5"
8,"Holiday Special: Moving Pictures","2022-07-11","co-berlin","https://co-berlin.org/en/events/holiday-special-moving-pictures"
9,"Holiday Special: Moving Pictures","2022-07-18","co-berlin","https://co-berlin.org/en/events/holiday-special-moving-pictures-0"
10,"Holiday Special: Making Blue","2022-08-04","co-berlin","https://co-berlin.org/en/events/holiday-special-making-blue"
11,"Holiday Special:Zoo-logical!","2022-08-15","co-berlin","https://co-berlin.org/en/events/holiday-specialzoo-logical"
12,"Mama told ya x Finest Friday","2022-06-24","berghain","https://www.berghain.berlin/en/event/73161/"
13,"Klubnacht","2022-06-25","berghain","https://www.berghain.berlin/en/event/73083/"
14,"PAN","2022-07-01","berghain","https://www.berghain.berlin/en/event/73162/"
15,"Klubnacht","2022-07-02","berghain","https://www.berghain.berlin/en/event/73084/"
16,"Tirzah","2022-07-06","berghain","https://www.berghain.berlin/en/event/75798/"
17,"Finest Friday","2022-07-08","berghain","https://www.berghain.berlin/en/event/73163/"
18,"Klubnacht","2022-07-09","berghain","https://www.berghain.berlin/en/event/73085/"
19,"Shygirl","2022-07-13","berghain","https://www.berghain.berlin/en/event/75887/"
20,"Live From Earth Klub","2022-07-15","berghain","https://www.berghain.berlin/en/event/73164/"
21,"Klubnacht","2022-07-16","berghain","https://www.berghain.berlin/en/event/73086/"
22,"LUSH","2022-07-22","berghain","https://www.berghain.berlin/en/event/73165/"
23,"CSD Klubnacht","2022-07-23","berghain","https://www.berghain.berlin/en/event/73087/"
24,"Creamcake: 10/11","2022-07-29","berghain","https://www.berghain.berlin/en/event/73166/"
25,"Klubnacht","2022-07-30","berghain","https://www.berghain.berlin/en/event/73088/"
